,Language,Step,Task,Accuracy,Tokens,Accuracy (normalized),N
166,vi,31250,dev_MLAS,53.3785,1B,1.0,4
520,vi,0,dev_UAS,52.6918,0,0.0,0
464,vi,30,dev_UAS,56.3831,1M,0.1758,1
387,vi,300,dev_UAS,66.3319,10M,0.6497,2
212,vi,3050,dev_UAS,71.0367,100M,0.8738,3
163,vi,31250,dev_UAS,73.6867,1B,1.0,4
519,vi,0,dev_UPOS,83.0033,0,0.0,0
463,vi,30,dev_UPOS,84.2027,1M,0.1404,1
386,vi,300,dev_UPOS,88.6657,10M,0.6627,2
211,vi,3050,dev_UPOS,91.0646,100M,0.9434,3
162,vi,31250,dev_UPOS,91.5481,1B,1.0,4
517,zh,0,dev_BLEX,21.1371,0,0.0,0
440,zh,30,dev_BLEX,26.6113,1M,0.1249,1
363,zh,300,dev_BLEX,53.9122,10M,0.7479,2
139,zh,3050,dev_BLEX,62.5668,100M,0.9454,3
76,zh,31250,dev_BLEX,64.9592,1B,1.0,4
515,zh,0,dev_CLAS,21.1934,0,0.0,0
438,zh,30,dev_CLAS,26.6676,1M,0.125,1
361,zh,300,dev_CLAS,53.9825,10M,0.7485,2
137,zh,3050,dev_CLAS,62.6513,100M,0.9464,3
74,zh,31250,dev_CLAS,65.0014,1B,1.0,4
514,zh,0,dev_LAS,24.9582,0,0.0,0
437,zh,30,dev_LAS,30.3475,1M,0.1267,1
360,zh,300,dev_LAS,57.0154,10M,0.7539,2
136,zh,3050,dev_LAS,65.2295,100M,0.9471,3
73,zh,31250,dev_LAS,67.4782,1B,1.0,4
511,zh,0,dev_Lemmas,99.7584,0,0.0833,0
434,zh,30,dev_Lemmas,99.7491,1M,0.0,1
357,zh,300,dev_Lemmas,99.8606,10M,1.0,2
133,zh,3050,dev_Lemmas,99.8606,100M,1.0,3
70,zh,31250,dev_Lemmas,99.8606,1B,1.0,4
516,zh,0,dev_MLAS,14.2274,0,0.0,0
439,zh,30,dev_MLAS,18.7025,1M,0.1033,1
362,zh,300,dev_MLAS,44.8916,10M,0.7082,2
138,zh,3050,dev_MLAS,54.8973,100M,0.9392,3
75,zh,31250,dev_MLAS,57.5288,1B,1.0,4
513,zh,0,dev_UAS,30.8028,0,0.0,0
436,zh,30,dev_UAS,36.536,1M,0.1391,1
359,zh,300,dev_UAS,63.2224,10M,0.7867,2
135,zh,3050,dev_UAS,70.1171,100M,0.954,3
72,zh,31250,dev_UAS,72.0126,1B,1.0,4
512,zh,0,dev_UPOS,77.7458,0,0.0,0
435,zh,30,dev_UPOS,80.3382,1M,0.1611,1
358,zh,300,dev_UPOS,88.1435,10M,0.6461,2
134,zh,3050,dev_UPOS,93.2169,100M,0.9613,3
71,zh,31250,dev_UPOS,93.8394,1B,1.0,4
